id|title|starring|writer|editor|
3993|Mabel and Fatty Viewing the World's Fair at San Francisco|Roscoe Arbuckle Mabel Normand|||
3994||Caryn Elaine Johnson Cathy Moriarty Elisabeth Shue Sally Margaret Field Robert Downey Jr. Kevin Delaney Kline|Robert Harling (writer) Andrew Bergman||
3995|Robin Hood: Prince of Thieves|Mary Elizabeth Mastrantonio Morgan Freeman Kevin Michael Costner Alan Sidney Patrick Rickman Christian Michael Leonard Hawkins|Pen Densham John Watson (producer)||
3996||Taegu Andy Kang Bokja Kim Jiseon Kim Gina Kim Mike Park|So Yong Kim Bradley Rust Gray||
3997||Richard Wattis Ian McShane Ava Lavinia Gardner Stephanie Beacham Cyril Cusack|William Spier Robert Burns||
3998||Sridevi Kamal Haasan|||
3999||Jatin Khanna Moushumi Chatterjee Bhanurekha Ganesan|||
4000||Danny Denzongpa Jackie Shroff Anil Kapoor|Sachin Bhowmick||
4001|Spider-Man 2|Tobias Vincent Maguire Kirsten Caroline Dunst James Edward Franco Alfred Molina|David Koepp Alvin Sargent Stephen Ditko Stanley Martin Lieber Alfred Gough Michael Chabon Miles Millar||
4002|The End of the Affair|Ralph Nathaniel Twisleton-Wykeham Fiennes Graham Rea Julie Anne Smith|Graham Greene Neil Patrick Jordan||
4003||Shammi Kapoor Saira Banu Shashikala|Aga Jani Kashmiri Subodh Mukherji||
4004||Nils Brandt Ulf Brunnberg Siw Malmkvist Per Grund?n Hans Gu00F6sta Gustaf Ekman|Henning Bahs Rolf B?rjlind Erik Balling||
4005||Clarice Taylor Leonard Jackson D'Urville Martin Glynn Russell Turman Virginia Capers|||
4006|Rasputin, the Mad Monk|Richard Edward Pasco Francis Matthews (actor) Suzan Farmer Christopher Frank Carandini Lee Barbara Shelley|Anthony Hinds||
4007|Beowulf|Angelina Jolie Voight Crispin Hellion Glover Philip Anthony Hopkins Brendan Gleeson Alison Marion Lohman John Gavin Malkovich Robin Gayle Wright Ray Winstone|Roger d'Avary (dropped "d'" in 1992) Neil Gaiman||
4008||Koumba Diakite Aboucar Tour? C?cile Bois Mamady Mory Camara|Mohamed Camara||
4009|No End in Sight|Campbell Scott|||
4010||Jos? Mar?a Guti?rrez Virginia Luque|Carlos A. Petit||
4011||John C. McGinley Morgan Freeman Kevin Spacey Fowler Gwyneth Kate Paltrow William Bradley Pitt|Andrew Kevin Walker||
4012|Fake|Leo Putt Pachrapa Chaichua Ray MacDonald Paopol Thephasdin|Joon Bum Ahn Siwaporn Pongsuwan Thanakorn Pongsuwan||
4013||Thomas Jeffrey Hanks John Franklin Candy|David Isaacs Keith Critchlow Ken Levine (TV personality)||
4014|The Ambassador|Roy Harold Scherer, Jr. Edna Rae Gillooly Robert Mitchum|||
4015|Vidocq|Gu00E9rard Xavier Marcel Depardieu Guillaume Canet|||
4016|The Kill-Off|Cathy Haase|Maggie Greenwald Jim Thompson (writer)||
4017|Lung fu moon|Donnie Yen Tse Ting-Fung (u8B1Du9706u92D2) Shawn Yue|||
4018|White Elephant: The Battle of the African Ghosts|Peter Firth|Ashley Pharoah||
4019|The Beast Must Die||James Blish Michael Winder||
4020|Cohen and Tate|Harley Cross Marco Perella Adam Baldwin Suzanne Savoy Roy Richard Scheider|Eric Red||
4021||Warly Ceriani|Arturo S. Mom||
4022||Eleanor Geisman Ricardo Montalban Richard Ewing Powell|Armand Deutsch William Inge||
4023|The Bulldog Breed|Norman Wisdom|Henry Blyth Jack Davies Norman Wisdom||
4024|Nora's Hair Salon|Jenifer Jeanette Lewis Tatyana Ali Tamala Jones|Chanel Capra Jean-Claude La Marre||
4025||Sripriya Kamal Haasan|||
4026|||Aleksandr Mi?on||
4027||Ralph Morgan Joseph Patrick Carrol Naish Tala Birell|Lawrence Williams Pierre Gendron Martin Mooney||
4028|Duets|Andre Braugher Gwyneth Kate Paltrow Paul Giamatti Maria Elana Bello Huey Lewis|John Byrum||
4029||Jyothika Ajith Suchindra Bali VIVEKANANDHAN DEVAR|Crazy Mohan||
4030|A Dog's Life|Edna Purviance Syd Chaplin Albert Austin Henry Bergman Tom Wilson (actor) Charles Reisner|Charles Chaplin||
4031|Beer League|Cara Buono Seymour Cassel Artie Lange Ralph George Macchio Lauren Ophelia Metcalf Jerry Minor Anthony DeSando|Artie Lange||
4032|Ju Dou|Wei Li Baotian Li Gong Li Zhang Yi|Liu Heng||
4033|Eyes Wide Shut|Thomas Cruise Mapother IV Nicole Mary Kidman|Stanley Kubrick Arthur Schnitzler||
4034||Urmila Matondkar Seema Biswas Saif Ali Khan|||
4035||Carmencristina Moreno Cliff Chamberlain|Matt Hannon Rick Rapoza||
4036|Love Crazy|Gail Patrick Myrna Adele Williams John Elmer Carson William Horatio Powell|David Hertz William Ludwig Charles Lederer||
4037|El Dorado|Marion Robert Morrison Paul Fix James Langston Edmund Caan Charlene Holt Robert Mitchum|Leigh Brackett||
4038|Nineteen Eighty-Four|Richard Walter Jenkins Jr. Suzanna Hamilton Gregor Fisher John Vincent Hurt Cyril Cusack|George Orwell||
4039|Vampyr|Nicolas de Gunzburg Rena Mandel Maurice Schutz|Sheridan Le Fanu Christen Jul Carl Theodor Dreyer||
4040|Amy|Barry Foster Newman Chris Robinson Kathleen Nolan Jennifer Ann Agutter|Noreen Stone||
4041||Jonathan Silverman Leah Lail|Adam Rifkin||
4042||Frank Ripploh Bernd Broaderup|Frank Ripploh||
4043|Spider-Man movies Spider-Man 3|Tobias Vincent Maguire Thomas McMillen Kirsten Caroline Dunst James Edward Franco Christopher John Grace|Alvin Sargent Ivan Raimi Stephen Ditko Stanley Martin Lieber||
4044|||Yaky Yosha||
4045|La Paura|Mathias Wieman Ingrid Bergman Kurt Kreuger|Franz von Treuberg Roberto Rossellini Sergio Amidei||
4046|A Troll in Central Park|Tawny Sunshine Glover Cloris Leachman Dominick DeLuise Phillip Glasser|Stu Krieger||
4047|A Gasoline Wedding|Harold Lloyd|H.M. Walker||
4048|||Huang Feng||
4049|The Mighty McGurk|Robert Dean Stockwell Wallace Fitzgerald Beery Edward Arnold|Harry Clork Grant Garett William R. Lipman||
4050||Gregory Ley Stan Mcreynolds Evan Riffe Parker Cagle-Smith Arin Baun Erin Ray Micah Buchele-Collins|Andrew Gingerich||
4051|Georgy Girl|Lynn Redgrave James Neville Mason Alan Arthur Bates Charlotte Rampling|Margaret Forster Peter Nichols||
4052||Jayapradha Amitabh Bachchan Sridevi|K. Bhagyaraja||
4053|Curses!|Alfred St. John|Roscoe Arbuckle||
4054|The Mighty Quinn|Norman Lugard Beaton Robert Townsend Denzel Washington|Hampton Fancher A.H.Z. Carr||
4055|The Captive Heart|Rachel Kempson Michael Scudamore Redgrave|Angus MacPhail Patrick Kirwan Guy Morgan||
4056|Popeye|Robin McLaurim Williams Linda Hunt Paul L. Smith Shelley Alexis Duvall Paul Dooley|E.C. Segar Jules Feiffer||
4057||Fredric Downs Michelle Phillips Ramu00F3n Gerardo Antonio Estu00E9vez Gary Morgan Janit Baldwin Nicholas King Nolte Vic Morrow|Richard Compton||
4058||Jacki Weaver Maria de Lourdes Villiers-Farrow|Elizabeth Kata||
4059|Colonel Redl|Klaus Georg Steng|John Osborne P?ter Dobai||
4060|Leningrad Cowboys Go America|Leningrad Cowboys Kari V??n?nen Matti Pellonp??|Sakke J?rvenp?? Mato Valtonen||
4061|The Eagle and the Hawk|Archibald Alec Leach Ernest Frederick McIntyre Bickel|Bogart Rogers Seton I. Miller John Monk Saunders||
4062|Miss Congeniality 2: Armed and Fabulous|Heather Burns William Shatner Enrique Murciano Ernie Hudson Diedrich Bader Sandra Annette Bullock Treat Williams Regina King|Mark Lawrence||
4063|The Strong Man's Burden|Kate Bruce|George Hennessy||
4064|East Side Story|Rene Alvarado Steve Callahan Gladys Jimenez|Charo Toledo Carlos Portugal||
4065||Nicholas Gledhill Robyn Nevin Wendy Hughes|Michael Jenkins (Australian)||
4066|Academy Award for Best Foreign Language Film Sundays and Cybele|Franz Eberhard August Kru00FCger Nicole Courcel Patricia Gozzi|Serge Bourguignon Bernard Eschass?riaux Antoine Tudal||
4067||David Chiang Ti Lung|||
4068|Full Frontal|David William Duchovny Nicky Katt Julie Fiona Roberts Blair Underwood Mary Catherine McCormack David Hyde Pierce Catherine Ann Keener|Coleman Hough||
4069|Avatar|Sam Worthington Zo? Salda?a Stephen Lang (actor) Mayte Michelle Rodru00EDguez Susan Alexandra Weaver|James Cameron||
4070||William Edgar Buchanan Gwyllyn Samuel Newton Ford Harry Bratsburg Mary Frances Reynolds Eva Gabor|Charles Lederer Valentine Davies||
4071|Ice-Cold in Alex|Anthony Quayle Lewis Ernest Watts Mills Sylvia Syms|Christopher Landon T.J. Morrison||
4072|L'Albero degli zoccoli Palme d'Or|Francesca Moriggi Luigi Ornaghi Omar Brignoli|Ermanno Olmi||
4073|A Christmas Carol|Joel Katz Richard Grant Esterhuysen Patrick Hewes Stewart''People of Today'':  Debrett, London, 2007|Peter Barnes Charles Dickens||
4074|Sleep With Me|Eric Stoltz Craig Sheffer Joey Lauren Adams Parker Christian Posey Margaret E. Chan|Duane Dell'Amico Michael Steinberg Neal Jimenez Rory Kelly Roger Hedden Joe Keenan||
4075|Cold Mountain|Eileen June Atkins Brendan Gleeson Charles Matthew Hunnam Donald McNichol Sutherland Renu00E9e Kathleen Zellweger Philip Seymour Hoffman Nicole Mary Kidman Antonino Giovanni Ribisi Jude Law Jack White (musician) en . Ray Winstone|Charles Frazier Anthony Minghella||
4076|In Society|Lou Costello Kirby Grant William Alexander Abbott Arthur Veary Treacher Marion Hutton|Hal Fimberg Edmund Hartmann John Grant (screenwriter)||
4077||Phil Vischer Mike Nawrocki|Phil Vischer Mike Nawrocki||
4078|Dang Bireley's and Young Gangsters|Apichart Choosakul Chartchai Ngamsan Champagne X Attaporn Teemakorn Supakorn Kitsuwon Jessadaporn Pholdee Noppachai Muttaweevong|Suriyong Saktaisong Wisit Sasanatieng||
4079||u5F35u767Cu5B97 (Cheung Fat Chung) u590Fu7433 (Xiu00E0 Lu00EDn)|||
4080|Vagabond Golden Lion|Setti Ramdane Sandrine Bonnaire|Agn?s Varda||
4081|Obsession|John Arthur Lithgow Genevi?ve Bujold Clifford Parker Robertson III|Paul Schrader||
4082|Smultronstu00E4llet Berlin International Film Festival|Gunnar Bj?rnstrand Victor Sj?str?m Ingrid Thulin Berit Elisabeth Andersson|Ernst Ingmar Bergman||
4083|The Lady Lies|Patricia Deering Walter Houghston Tom Brown (actor) Charles Ruggles Lily Claudette Chauchoin|Garrett Fort Mort Blumenstock||
4084|The Crimson Rivers|Juan Moreno y Herrera Jimu00E9nez Vincent Cassel|Mathieu Kassovitz Jean-Christophe Grang?||
4085||Ruth Carol Hussey Lionel Herbert Blythe Emmett Evan Heflin Jr.|John L. Balderston Alvin Meyers Wells Root Milton Gunzburg||
4086|Orlando|Katherine Mathilda Swinton|||
4087||William Henry Pratt|Mary Shelley George Worthing Yates||
4088|It Happened on 5th Avenue|Alan Hale Jr Dorothy Walton Gatley Victor Moore|||
4089|An American Werewolf in Paris|Julie Delpy Tom Everett Scott|Anthony Waller Tim Burns Tom Stern||
4090|Cru00EDa cuervos Grand Prix (Cannes Film Festival)|Geraldine Chaplin|Carlos Saura||
4091|Guest from the Future|Aleksei Fomkin Ilya Naumov Maryana Ionesyan Natalya Yevgenievna Guseva|Kir Bulychev||
4092||Robyn Paris|Tommy Wiseau||
4093|Crossroads|Hedwig Eva Maria Kiesler William Horatio Powell Claire Trevor Philip St. John Basil Rathbone|Howard Emmett Rogers Guy Trosper John H. Kafka Frederick Kohner||
4094||The Hooters|||
4095||Inna Ulyanova Oleg Menshikov Leonid Bronevoy|Leonid Zorin||
4096|Herr Tartu00FCff|Theodor Friedrich Emil Janenz Werner Krauss Lil Dagover Rose Valetti Lucie Hoeflich Hermann Picha|Carl Mayer||
4097|Gunfight at the O.K. Corral|Issur Danielovitch Jo Van Fleet Burton Stephen Lancaster Marilyn Louis John Ireland|George Scullin Leon Uris||
4098||Aftab Shivdasani Gulshan Grover Divya Dutta Manisha B. Koirala Chunky Pandey|||
4099||Hugh Emrys Griffith Victor Spinetti Donald McNichol Sutherland John Joseph MacGowran Billie Whitelaw Jerome Silberman|Fred Freeman Lawrence J. Cohen||
4100|Princesas|Candela Pe?a Micaela Nev?rez|Fernando Leu00F3n de Aranoa||
4101|||Pierre Unik Luis Bu?uel||
4102|Pasqualino Settebellezze|Fernando Casado D'Arambillet Elena Fiore Giancarlo Giannini Shirley Stoler Roberto Herlitzka|Arcangela Felice Assunta Job Wertmu00FCller von Elgg Espanol von Brauchich||
4103|Live Evil|Kimberly Sanders Joseph Timothy Thomerson Mark Hengst Osa Wallander Kentotis Alvin Foree Gregory Lee Kenyon Eva Derrek Chuck Williams (actor)|Jay Woelfel||
4104|George of the Jungle 2|Angus Turner Jones Michael Clarke Duncan Christopher Showerman John Marwood Cleese Christina Pickles Thomas McMillen Julie Benz John Kassir|Jordan Moffet Bill Scott||
4105|Betaab|Shammi Kapoor Amrita Singh Nirupa Roy Prem Chopra Sunny Deol|Javed Akhtar||
4106||Yusuf Khan Mahjabeen Bano|Zia Sarhadi||
4107||Phish|Phish||
4108|Cannibal Holocaust "Cannibal Holocaust (Main Theme)"|Robert Kerman|Gianfranco Clerici Giorgio Stegani||
4109|||Norman Houston||
4110||Rakshitha Sonia Agarwal Vadivelu Joseph Vijay Chandrasekhar Tejashree|Ramana Madhesh||
4111|Escaflowne|Tomokazu Seki Maaya Sakamoto|Ryota Yamaguchi Kazuki Sekine||
4112|Looney Tunes: Back in Action|Heather Deen Locklear Stephen Glenn Martin Jennifer Mary Butala Timothy Peter Dalton Joan Mary Cusack Brendan Fraser|Larry Doyle (writer)||
4113||Anne Suzuki Ky?ko Koizumi Masahiro Hirota Itsuji Itao|Toshiaki Toyoda Mitsuyo Kakuta||
4114||Susannah Yolande Fletcher Coral Browne Beryl Reid|Lukas Heller||
4115|Van Wilder 2|Amy Steel (UK) Holly Davidson Shobu Kapoor Kalpen Suresh Modi Lauren Cohan Steven Rathman Beth Steel Tom Davey Glen Barry William de Coverly Daniel Percival Anthony Cozens|David Drew Gallagher||
4116||Louis Albert Heindrich Denninger Jr. Betty May Adams Antonio Moreno Richard Carlson (actor)|Harry Essex Arthur A. Ross Maurice Zimm||
4117||Tetsuro Tamba Sachiko Hidari|Kaneto Shind? Shoji Yuki Norio Osada||
4118|Snow White|Creighton Hale Marguerite Clark|Winthrop Ames||
4119|Un Secreto de Esperanza|Imanol Maru00EDa Cristina Estela Marcela Jurado Garcu00EDa Anabell Gardoqui de la Reguera|Leopoldo Laborde||
4120|Star Trek III: The Search for Spock|#Cast|Gene Roddenberry Harve Bennett||
4121||Danny Aiello Vincenzo Scognamiglio Cher Olympia Dukakis Nicholas Kim Coppola|John Patrick Shanley||
4122|A Time to Heal|Gary Cole Mara Elizabeth Wilson Nicollette Sheridan|Cathleen Young||
4123||Jorge Rivero Sabrina Siani Conrado san Mart?n Andrea Occhipinti|Carlos Vasallo Jos? Antonio de la Loma Giovanni Di Clemente Gino Capone||
4124||Shirley MacLean Beaty John Uhler Lemmon III|I.A.L. Diamond Samuel Wilder Alexandre Breffort||
4125|There Was a Crooked Man...|Issur Danielovitch Henry Jaynes Fonda|||
4126||Girish Karnad Sunil Shetty Shilpa Shetty|||
4127|Author! Author!|Alfredo James Pacino Tuesday Weld Alan King (comedian) Samile Diane Friesen|Israel Horovitz||
4128|Edison Bugg's Invention|Eldon Raymond McKee|E.W. Sargent||
4129||Prem Chopra Balraj Dutt Sadhana Shivdasani Krishan Narayan|Akhtar-Ul-Iman   G.R. Kamath||
4130||Doug Benson|||
4131||Marisa Paredes Victoria Abril Miguel Bos?|Pedro Almodu00F3var Caballero||
4132|Riding Alone for Thousands of Miles|Gouichi Oda|Zou Jingzhi||
4133|||Micha?l Dudok De Wit||
4134||Bhavana (actress) Bharath Sriya Reddy Pasupathy|||
4135|Roadside Romeo|Saif Ali Khan Jaaved Jaffrey Kareena Kapoor|Jugal Hansraj||
4136|Curly Sue|Kelly Colleen Lynch Alisan Porter James Edgar Belushi|John Hughes (film director)||
4137||Paul McGann Anna Louise Friel Steven Mackintosh Keeley Hawes|Charles Dickens Sandy Welch||
4138||Chris Rock Eric Anthony Roberts Bernard Schwartz Joseph Peter Pantoliano Althea Rae Duhinio Janairo William Forsythe (actor) Clarence Williams III|Elie Samaha Kevin Bernhardt||
4139|Red Doors|Elaine Kao Tzi Ma Freda Foh Shen Mia Riverton Kathy Shao-Lin Lee Jacqueline Joan Kim|Georgia Lee||
4140|Drugstore Cowboy|Kelly Colleen Lynch James LeGros Heather Graham Matthew Raymond Dillon|William S. Burroughs||
4141|Blood on the Moon|Barbara Bel Geddes Robert Mitchum Robert Preston Meservey|Luke Short (writer)||
4142|The Principal|Louis Cameron Gossett, Jr. Kelly Jo Minter Rae Dawn Chong James Edgar Belushi|Frank Deese||
4143||Alexis Dziena Miriam Katherine McDonald Marcia Gay Harden|Richard Kletter||
4144|Roaring Rails|Henry DeWitt Carey II|Hunt Stromberg||
4145||Junko Fuji Ittoku Kishibe Etsushi Toyokawa Yasuko Matsuyuki Shizuyo Yamazaki Y? Aoi|Sang-il Lee Daisuke Habara||
4146||Suchitra Sen Yusuf Khan Kishore Kumar|Hrishikesh Mukherjee Ritwik Ghatak||
4147|Chasing 3000|Raymond Liotta Rory Culkin Trevor Morgan|Cris D'Annunzio Bill Mikita||
4148|View Askewniverse The Flying Car|Brian O'Halloran Jeffrey Allan Anderson|Kevin Smith||
4149|Filmfare Best Movie Award|Nutan Samarth Asha Parekh Vijay Anand Vinod Khanna|Rahi Masoom Raza||
4150|Good Will Hunting Good Will Hunting.|Stellan Skarsg?rd Robin McLaurim Williams Benjamin Gu00E9za Affleck Amelia Fiona J. Driver Matthew Paige Damon|Matthew Paige Damon Benjamin Gu00E9za Affleck||
4151|Return of Sabata u00C8 tornato Sabata... hai chiuso un'altra volta|Lee Van Cleef|Renato Izzo||
4152|Moonlighting|Eugeniusz Haczkiewicz Jeremy John Irons Eugene Lipinski Jir? Stanislav|Jerzy Skolimowski||
4153|Chronicle of a Disappearance|Elia Suleiman Nazira Suleiman|Elia Suleiman||
4154||Georgy Vitsin Vladimir Etush Natalya Varley Yuri Nikulin Aleksandr Demyanenko Yevgeny Morgunov Frunzik Mkrtchyan|Leonid Gaidai||
4155|I Dream Too Much|Henry Jaynes Fonda Lily Pons Eric Blore Lucille Du00E9siru00E9e Ball|Elsie Finn David G. Wittels James Gow||
4156|The Sons of Katie Elder|Martha Hyer Dean Martin Marion Robert Morrison Earl Holliman Michael Anderson, Jr.|William H. Wright Allan Weiss Talbot Jennings Harry Essex||
4157|Title|Patricia Davies Clarkson Mary Elle Fanning Campbell Scott Bill Pullman Felicity Kendall Huffman Peter Gerety|Daniel Barnz||
4158|BAFTA Award for Best Film The Madness of King George|Rupert Graves Amanda Donohoe Nigel Hawthorne Ian Holm Cuthbert Ilyena Vasilievna Mironov Rupert James Hector Everett|Alan Bennett||
4159|Mon oncle|Jean-Pierre Zola Adrienne Servantie Alain B?court|Jean L'H?te Jacques Lagrange||
4160||Pedro Quartucci Francisco ?lvarez|Tito Insausti Arnaldo Malfatti||
4161||Caroline Langrishe Patrick Magee Pippa Guard Peter Firth|Jeremy Paul Alan Gibson From an idea by Alan Gibson||
4162|Scoop|Michael Hordern Herbert Charles Angelo Kuchacevich ze Schluderpacheru Denholm Mitchell Elliott|Evelyn Waugh William Boyd (writer)||
4163|La Maledicion de la Bestia|Paul Naschy Grace Mills Silvia Solar|Jacinto Molina||
4164|Serial (film) Universal Pictures||||
4165||Brie Howard Nikolaus Karl Gu00FCnther Nakszyu0144ski|Will Reigle Don Keith Opper James Reigle||
4166|Freak Out|James Heathcote Dan Palmer (actor)|Christian James Dan Palmer||
4167|Frankenstein|Charles Stanton Ogle Augustus Phillips Mary Fuller|James Searle Dawley||
4168||John Rhys-Davies Ashley Peldon Scott Stewart Bakula Jasmine Guy|Mark Dindal||
4169|New York Minute|Eugene Levy Mary-Kate Olsen Ashley Fuller Olsen|Adam Cooper||
4170||Neil Finn|||
4171|Shutter Island|Krishna Bhanji Mark Alan Ruffalo Leonardo Wilhelm DiCaprio Michelle Williams|Shutter Island Dennis Lehane||
4172|Gatchaman|TBA|Kevin Munroe 2007-01-15||
4173||Laura Wangsness Mukama Morandi|Josiah Kibira||
4174||Joseph Timothy Thomerson Fred Ward William Patrick Muldoon III Christopher Thomas Howell Cathy Moriarty|Alex Metcalf||
4175|C?sar Award for Best Film Smoking/No Smoking|Sabine Az?ma Pierre Arditi|Agn?s Jaoui Jean-Pierre Bacri||
4176|Can't Stop the Music|Randy Jones (singer) Bruce Jenner Ray Simpson Steven Robert Guttenberg Alex Briley Glenn Hughes (singer) David Hodo Felipe Ortiz Rose Valerie Ritchie Perrine|Bronte Woodard Allan Carr||
4177|Hocus Pocus|Sarah Jessica Parker Kathy Ann Najimy Doug Jones (actor) Vinessa Shaw Omri Katz Jason Christopher Marsden Bette Midler Thora Birch|Mick Garris||
4178|Cinema 500 km|Tariq Al-Husaini|Abdullah Al-Eyaf Al-Qahtani||
4179|Guilty|Henry DeWitt Carey II|Bennett Cohen||
4180|Abbott and Costello Meet Frankenstein|Lou Costello William Alexander Abbott Lon Chaney Jr. Glenn Strange Bela Lugosi|Frederic I. Rinaldo Robert Lees John Grant (screenwriter)||
4181||Michael Stipe Peter Buck Mike Mills Bill Berry|||
4182||Oshri Cohen Ohad Knoller Itay Tiran Itay Turgeman Eli Altonio Alon Abutbul|Joseph Cedar Ron Leshem||
4183||Jynine James Victoria Silvstedt Shane Ritchie|Peter Richardson Pete Richens||
